"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT08","WT09"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-01-01","6.2"," 0023","11.4",,"8.9","3.3","  110","  110","13.9","17.0",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-01-02","6.1"," 0805","14.2",,"8.9","6.1","  100","  100","9.8","12.1",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-01-03","4.7"," 0538","10.2",,"7.8","5.0","  110","  110","10.3","12.5",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-01-04","1.9"," 1614","25.1",,"5.6","4.4","  330","  330","5.4","5.8",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-01-05","3.8"," 2003","6.4",,"7.8","3.3","  230","  230","12.5","15.2",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-01-06","5.4"," 0813","11.7",,"6.7","2.8","  110","  110","13.0","16.5",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-01-07","1.1"," 0025","0.3",,"3.9","-1.0","  110","  110","4.5","5.4",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-01-08","1.4"," 2051","0.0",,"2.2","-2.1","  350","  340","3.6","4.0","    1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-01-09","2.4"," 2348","3.3",,"1.1","-3.8","  110","  100","8.1","9.8","    1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-01-10","3.0"," 0020","0.0",,"-2.1","-4.3","  330","  110","6.7","8.5","    1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-01-11","3.2"," 0855","0.0",,"1.1","-4.9","  340","  350","5.8","7.6",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-01-12","8.3"," 0228","4.6",,"5.0","0.6","  110","  110","12.5","15.7","    1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-01-13","9.2"," 1239","1.3",,"11.7","5.0","  110","  110","13.9","18.8","    1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-01-14","10.7"," 1748","1.8",,"17.2","11.1","  100","  110","15.7","20.6",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-01-15","7.6"," 2325","0.3",,"15.6","11.1","  110","  140","13.4","17.9",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-01-16","5.7"," 0241","10.2",,"12.2","5.0","  190","  200","12.5","16.1","    1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-01-17","1.3"," 1008","0.3",,"8.3","2.2","  310","  310","5.4","5.4",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-01-18","1.1"," 1529","0.0",,"7.8","1.7","  340","  340","4.0","4.5",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-01-19","1.4"," 2257","0.0",,"5.6","2.8","  340","  340","3.6","4.0",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-01-20","4.3"," 1927","0.0",,"7.2","3.9","  100","  110","9.4","12.1",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-01-21","2.4"," 1954","0.0",,"6.1","2.2","  120","  110","7.6","8.9",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-01-22","4.9"," 0923","10.7",,"5.0","0.6","  160","  160","11.6","13.9","    1",,,"    1",,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-01-23","2.3"," 0221","0.0",,"5.0","0.6","  110","  120","7.6","9.4",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-01-24","3.1"," 0612","1.0",,"4.4","1.1","  110","  110","8.1","10.3",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-01-25","5.1"," 2253","0.0",,"4.4","-0.5","  110","  110","11.6","15.2",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-01-26","4.6"," 0616","4.1",,"5.0","-0.5","  110","  100","10.7","13.4","    1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-01-27","1.8"," 2235","0.0",,"3.9","-1.6","  110","  110","7.6","9.8",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-01-28","6.6"," 1146","0.0",,"4.4","1.1","  100","   90","13.9","18.8",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-01-29","5.7"," 0438","0.0",,"4.4","2.2","  110","  110","10.7","14.3",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-01-30","2.7"," 0041","0.0",,"3.9","-0.5","  100","  140","6.7","8.9","    1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-01-31","3.8"," 1354","0.0",,"2.2","-1.6","  110","  110","9.8","11.6",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-02-01","5.1"," 2302","0.0",,"1.7","-0.5","  110","  110","11.2","15.7",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-02-02","4.3"," 1347","0.0",,"1.7","-3.2","  110","  110","7.6","9.4",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-02-03","3.0"," 1419","0.0",,"1.1","-4.3","   90","  110","10.3","13.0",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-02-04","2.5"," 0238","0.0",,"5.6","-2.1","  300","  290","6.3","7.2",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-02-05","1.1"," 1449","0.0",,"5.0","-2.1","  190","  180","4.0","4.5",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-02-06","1.8"," 0311","2.5",,"3.9","0.6","  330","  140","5.8","8.1","    1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-02-07","1.5"," 1419","0.0",,"5.6","-0.5","  320","  320","5.8","6.3",,"    1",,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-02-08","1.8"," 1838","0.0",,"3.9","-2.1","  110","  110","5.4","6.7",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-02-09","1.5"," 0525","0.0",,"2.8","-3.8","  340","  330","4.0","4.9",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-02-10","1.4"," 2015","0.0",,"2.8","-4.3","  100","  100","4.5","5.8",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-02-11","1.9"," 1302","0.0",,"4.4","0.0","  300","  300","5.8","6.3",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-02-12","3.2"," 1226","31.5",,"6.1","1.7","  230","  180","7.6","9.8","    1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-02-13","2.2"," 0426","9.4",,"5.0","-0.5","  270","  250","10.7","13.0","    1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-02-14","2.0"," 2333","0.0",,"4.4","-1.6","  100","  110","6.3","8.9","    1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-02-15","2.2"," 1519","10.9",,"3.3","0.6","  110","  270","5.8","7.6","    1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-02-16","1.5"," 2338","0.0",,"2.2","-2.1","   40","  350","5.8","8.9",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-02-17","6.0"," 0814","0.0",,"2.8","-1.0","  350","   40","11.6","18.8",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-02-18","1.6"," 0010","0.0",,"3.9","-3.8","  350","  350","6.7","8.1",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-02-19","2.1"," 1412","0.8",,"3.9","-1.6","  340","  330","5.8","6.7","    1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-02-20","1.0"," 0334","0.8",,"3.3","-2.1","  320","   80","3.6","4.0","    1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-02-21","1.7"," 1505","0.0",,"5.0","-1.6","  320","  310","5.4","6.7",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-02-22","3.9"," 2351","11.7",,"5.6","1.1","  250","  250","11.2","14.3","    1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-02-23","5.9"," 0822","6.1",,"5.0","-1.0","  280","  280","13.4","17.0","    1",,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-02-24","4.5"," 1758","14.7",,"3.9","-1.0","  230","  230","11.2","13.9","    1",,,"    1",,"    1",
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-02-25","4.2"," 0229","0.5",,"3.3","0.0","  330","  320","9.8","11.6",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-02-26","5.6"," 1447","11.4",,"5.6","0.6","  290","  290","17.9","20.6",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-02-27","5.0"," 0543","8.1",,"3.9","0.0","  290","  280","12.5","14.3",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-02-28","2.6"," 1942","15.2",,"4.4","-1.0","  340","  340","9.4","12.1",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-03-01","3.4"," 2311","0.0",,"1.7","-2.7","   30","   30","7.6","11.2",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-03-02","2.3"," 0728","0.0",,"4.4","-3.2","  350","  340","9.8","11.6",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-03-03","1.5"," 1809","0.0",,"5.0","-3.8","   90","   90","3.6","4.0",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-03-04","1.1"," 0317","0.0",,"4.4","-2.7","   80","   90","3.1","3.6",,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2018-03-05","1.6"," 1923","0.0",,"3.9","-3.8","  100","  110","4.0","4.9",,,,,,,
