-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 12/31/2021 
Location: Latitude  -1.9852   Longitude 30.0447 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1614.43 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
TS                      MERRA-2 Earth Skin Temperature (C) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX                 MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                 MERRA-2 Temperature at 2 Meters Minimum (C) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS50M_MAX               MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN               MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_UV_INDEX,WS2M,TS,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,QV2M,RH2M,WD10M,WS10M,PS,WS50M_MAX,WS50M_MIN
2019,2,8,2.31,0.93,20.34,20.07,24.37,16.88,7.18,14.34,82.94,121.31,1.61,83.85,3.31,1.68
2019,2,9,2.31,0.97,21.17,21.03,27.31,15.94,3.75,13.85,76.38,140.94,1.63,83.76,4.05,0.24
2019,2,10,1.45,0.97,21.48,21.79,27.12,15.91,0.93,13.73,72.0,147.62,1.52,83.8,3.34,0.37
2019,2,11,1.93,1.41,21.64,21.3,27.71,15.69,0.17,13.37,73.5,138.44,2.38,83.82,4.7,1.1
2019,2,12,2.09,1.35,22.07,21.62,28.8,15.66,0.38,13.73,74.25,129.12,2.11,83.76,5.35,0.42
2019,2,13,2.75,1.56,22.35,21.92,29.24,15.89,0.1,13.06,70.19,140.25,2.53,83.89,5.76,0.7
2019,2,14,2.51,1.51,21.71,21.53,28.33,15.51,0.43,12.15,66.31,128.69,2.39,84.02,5.16,0.38
2019,2,15,2.31,1.29,22.63,22.19,29.56,14.98,0.35,12.33,65.25,143.12,2.04,84.01,4.12,0.17
2019,2,16,1.81,1.2,22.8,21.94,28.59,16.07,0.3,12.94,68.88,136.06,1.93,84.0,4.37,0.41
2019,2,17,1.78,1.09,21.63,21.05,27.58,15.52,6.42,13.43,74.81,131.44,1.79,83.92,4.2,0.52
2019,2,18,1.34,1.09,21.24,20.87,25.58,15.89,0.27,12.82,72.38,196.56,1.88,83.84,4.27,1.42
2019,2,19,2.13,1.3,21.82,21.55,28.48,15.44,0.44,12.51,67.88,168.69,2.16,83.77,5.14,0.2
2019,2,20,1.45,1.09,20.36,20.27,23.9,17.35,0.42,12.7,72.44,139.31,1.67,83.88,4.49,0.31
2019,2,21,1.52,1.38,19.71,19.2,24.37,16.37,7.97,13.49,82.44,116.25,2.34,83.94,5.01,1.5
2019,2,22,1.57,1.24,19.02,19.3,22.62,15.87,32.88,13.79,82.94,209.56,2.05,83.86,4.29,0.9
2019,2,23,1.6,1.1,18.65,18.4,23.52,14.95,3.68,13.37,85.69,226.31,2.02,83.85,5.3,0.91
2019,2,24,1.59,1.02,18.62,18.65,22.8,15.28,4.49,12.82,80.75,233.69,1.75,83.89,5.1,1.28
2019,2,25,1.78,0.98,18.61,18.92,24.15,14.25,0.32,12.57,78.12,144.31,1.65,83.88,3.69,0.95
2019,2,26,2.79,1.33,20.71,20.57,27.31,14.05,0.1,13.18,75.5,151.75,2.26,83.81,4.43,0.74
2019,2,27,2.88,1.26,20.15,20.31,26.26,15.26,0.88,13.24,77.0,137.44,2.12,83.8,4.41,0.53
2019,2,28,2.79,1.2,21.01,20.89,27.46,14.18,0.18,12.27,70.44,152.69,2.09,83.81,4.42,1.21
2019,3,1,1.53,1.18,22.22,21.94,28.85,15.65,0.33,12.63,67.12,152.75,2.01,83.84,4.16,1.26
2019,3,2,1.07,1.08,21.02,20.42,26.52,15.74,9.08,13.43,77.06,200.5,1.9,83.91,5.02,0.59
2019,3,3,2.45,0.88,21.08,20.73,26.89,15.19,1.87,12.88,73.06,197.88,1.57,83.93,5.85,0.39
2019,3,4,0.99,0.97,20.93,20.65,26.23,16.12,0.95,13.06,73.88,193.06,1.63,83.89,3.59,0.41
2019,3,5,1.71,0.95,19.61,19.8,23.34,15.62,1.25,12.63,74.69,163.56,1.57,83.93,3.56,0.88
2019,3,6,1.38,0.86,19.32,19.07,24.18,14.68,2.88,13.12,80.94,171.38,1.55,84.02,3.88,0.22
2019,3,7,2.73,1.02,20.18,19.67,26.05,14.75,0.93,12.7,76.88,225.06,1.9,83.95,4.35,0.99
2019,3,8,2.55,1.4,21.07,20.76,27.05,15.62,1.39,12.63,71.44,155.88,2.41,83.88,5.19,1.76
2019,3,9,2.83,1.22,21.13,20.75,27.14,14.67,0.33,12.76,72.62,114.19,2.05,83.94,4.29,0.16
2019,3,10,1.58,0.93,21.03,20.9,26.98,15.26,2.51,12.88,72.12,135.5,1.48,83.96,3.23,0.11
2019,3,11,2.92,0.92,22.18,21.7,28.47,15.17,1.24,12.76,69.12,154.69,1.54,83.93,2.77,0.31
2019,3,12,2.1,1.23,21.94,21.51,27.92,15.12,1.2,12.76,69.44,135.81,2.06,83.91,4.01,1.0
2019,3,13,1.83,1.22,22.15,21.54,28.73,14.58,1.62,12.88,70.94,131.75,2.03,83.92,4.18,0.72
2019,3,14,1.31,1.33,21.79,21.25,27.69,15.66,3.0,13.43,74.0,121.81,2.13,83.9,4.3,1.11
2019,3,15,2.3,1.31,21.94,21.26,28.22,14.65,2.3,13.31,73.5,126.06,2.17,83.85,4.62,0.49
2019,3,16,2.29,1.16,19.89,20.12,24.7,15.87,12.17,13.67,78.69,171.25,1.88,83.88,4.16,0.38
2019,3,17,1.95,1.14,21.22,21.14,27.64,15.01,1.71,13.24,72.94,161.31,1.94,83.85,4.55,0.32
2019,3,18,2.66,1.08,21.9,21.41,27.87,15.46,0.38,13.49,73.25,150.75,1.83,83.86,3.71,0.75
2019,3,19,2.41,1.28,21.18,21.01,26.68,15.22,0.64,13.43,74.44,123.81,2.13,83.78,3.88,1.02
2019,3,20,2.54,1.16,21.94,22.06,28.21,16.71,1.1,12.76,66.44,160.12,1.85,83.74,3.73,0.96
2019,3,21,2.1,1.21,22.33,21.78,28.52,15.66,0.78,12.94,69.31,163.38,2.1,83.79,4.0,1.39
2019,3,22,2.75,1.23,21.54,21.04,26.91,15.59,2.01,13.79,76.06,155.12,2.04,83.81,4.14,1.35
2019,3,23,2.52,1.31,21.42,21.32,27.0,15.94,1.2,13.79,74.94,131.38,2.12,83.72,4.7,0.73
2019,3,24,2.49,1.08,20.99,20.94,25.93,15.94,1.02,13.49,74.88,160.25,1.8,83.71,3.73,1.36
2019,3,25,1.79,1.18,22.15,21.3,28.69,14.33,0.42,12.88,71.62,156.62,2.03,83.81,3.91,0.95
2019,3,26,1.38,1.28,21.83,21.42,27.99,15.03,2.92,13.06,71.81,132.75,2.12,83.91,4.35,1.25
2019,3,27,1.79,1.02,22.02,21.94,27.0,17.66,2.8,13.37,69.75,125.94,1.58,84.02,4.05,0.28
2019,3,28,1.37,0.88,18.58,19.04,22.07,15.72,1.89,13.98,85.5,177.88,1.43,84.06,4.26,0.7
2019,3,29,2.8,1.05,19.64,19.54,24.51,14.75,0.88,12.88,77.56,167.38,1.77,83.96,4.42,0.45
2019,3,30,2.04,0.86,20.63,20.35,26.83,14.29,14.87,13.24,77.0,145.12,1.52,83.89,4.11,0.37
2019,3,31,2.41,1.23,20.62,20.08,25.94,15.75,2.0,13.61,79.69,161.0,2.12,83.9,3.77,1.52
2019,4,1,1.8,1.0,21.93,21.25,28.69,14.65,1.01,13.31,74.12,151.0,1.73,83.86,4.41,0.77
2019,4,2,1.85,1.12,19.32,19.05,23.99,15.49,12.49,14.28,87.56,177.62,1.95,83.91,4.81,0.85
2019,4,3,2.25,1.2,21.35,20.87,27.56,15.13,1.0,13.61,77.0,147.81,2.03,83.86,3.85,0.56
2019,4,4,1.93,1.27,19.75,19.91,23.67,16.97,2.58,14.4,83.75,132.0,2.03,83.85,4.59,1.52
2019,4,5,2.51,1.52,18.97,19.3,22.99,16.6,3.78,14.59,87.56,135.19,2.59,83.82,7.34,0.31
2019,4,6,2.82,1.72,21.3,21.12,27.19,16.47,0.89,14.28,78.5,128.25,2.84,83.86,6.02,1.44
2019,4,7,2.52,1.72,21.25,21.22,28.06,15.56,0.07,13.55,74.5,128.81,2.86,83.85,6.7,0.68
2019,4,8,2.66,1.08,21.8,21.35,28.01,15.59,0.96,14.1,76.38,152.56,1.77,83.84,3.88,0.97
2019,4,9,1.93,1.05,21.11,20.46,25.9,16.26,6.86,14.4,81.94,142.25,1.86,83.8,3.67,1.86
2019,4,10,2.26,0.8,19.26,19.27,22.94,16.05,4.85,13.55,82.06,186.94,1.48,83.87,4.27,0.7
2019,4,11,2.64,1.14,21.19,20.47,27.13,14.64,0.3,13.43,77.5,165.44,2.06,83.77,4.34,0.7
2019,4,12,1.53,1.15,18.72,18.85,22.54,15.65,8.98,14.34,88.12,162.56,1.95,83.78,4.76,0.36
2019,4,13,1.8,1.27,19.96,19.91,25.44,15.44,1.16,14.22,83.19,163.88,2.18,83.76,3.98,1.97
2019,4,14,1.95,0.92,19.98,20.04,24.86,15.8,7.54,13.49,78.94,195.75,1.72,83.79,4.34,0.82
2019,4,15,2.19,1.02,20.52,20.52,26.39,16.63,2.77,14.1,79.75,142.56,1.77,83.88,3.75,0.05
2019,4,16,2.02,1.19,20.43,20.32,25.26,15.9,6.44,14.53,83.0,156.12,2.04,83.93,4.34,0.87
2019,4,17,2.31,1.49,19.74,19.76,25.51,15.03,1.65,13.55,80.44,152.31,2.48,83.92,6.06,0.72
2019,4,18,2.33,1.71,20.36,20.05,26.3,14.72,1.39,13.18,77.62,156.75,2.92,83.99,6.19,2.2
2019,4,19,2.63,1.8,20.94,20.53,27.57,14.56,0.14,13.49,77.25,144.5,3.03,83.93,7.13,2.03
2019,4,20,2.1,1.38,21.29,21.0,27.03,15.68,1.91,13.79,76.5,130.06,2.27,83.88,5.14,1.27
2019,4,21,1.57,0.97,20.19,20.11,24.8,15.15,2.63,13.98,80.62,162.38,1.63,83.78,3.44,0.77
2019,4,22,0.73,0.95,19.17,19.12,24.33,15.15,11.03,13.85,84.94,196.12,1.73,83.82,5.01,0.56
2019,4,23,2.38,1.12,19.07,18.71,23.82,14.83,5.96,13.73,86.31,158.56,2.05,83.94,6.07,1.31
2019,4,24,2.5,0.91,20.44,20.49,26.59,15.05,7.11,13.49,77.06,184.25,1.58,83.97,3.38,0.82
2019,4,25,2.01,0.49,21.29,21.21,26.17,16.91,13.04,14.22,76.81,176.62,0.79,83.95,1.91,0.47
2019,4,26,1.2,1.51,19.04,18.93,22.28,16.33,13.17,13.79,85.12,253.69,2.61,83.97,5.2,2.65
2019,4,27,1.77,0.77,20.24,19.68,25.26,15.58,2.84,13.85,82.38,173.5,1.43,83.98,4.94,0.43
2019,4,28,2.26,0.83,21.31,21.01,27.37,15.94,6.19,13.73,76.62,149.94,1.59,83.96,3.71,1.16
2019,4,29,1.8,1.1,20.9,20.65,26.48,16.58,1.65,14.4,81.31,106.56,1.87,83.97,4.68,0.12
2019,4,30,2.04,1.24,19.73,19.73,23.72,16.96,1.38,15.01,88.06,129.38,2.04,83.96,4.89,0.34
2019,5,1,1.98,0.9,19.34,19.4,22.64,17.3,4.08,15.01,89.75,161.19,1.54,83.97,3.69,0.54
2019,5,2,2.16,1.07,21.12,20.36,26.4,15.94,2.23,14.28,82.31,136.5,1.86,83.97,4.62,1.55
2019,5,3,2.31,1.09,20.79,20.56,25.29,16.68,0.83,14.34,81.25,104.31,1.77,83.96,3.3,1.2
2019,5,4,2.33,1.45,20.86,20.56,26.01,16.51,0.75,14.59,82.56,131.69,2.42,83.88,5.15,1.4
2019,5,5,1.66,1.8,19.05,18.97,22.98,15.62,2.03,14.16,86.88,139.38,2.97,83.94,7.41,0.23
2019,5,6,2.14,1.73,19.99,19.55,25.35,14.87,5.17,13.85,83.19,139.69,2.91,84.0,6.25,2.09
2019,5,7,2.09,1.82,20.23,19.68,24.83,16.68,9.95,14.34,85.19,125.0,3.1,84.0,6.27,3.84
2019,5,8,2.04,1.5,19.94,19.27,24.54,15.86,4.54,13.92,85.06,151.81,2.59,83.99,5.48,3.13
2019,5,9,2.26,1.41,19.93,19.28,24.87,15.4,2.43,13.98,85.12,121.94,2.41,83.88,5.24,2.45
2019,5,10,1.78,1.34,19.89,19.44,24.4,16.1,4.11,14.34,86.12,104.38,2.29,83.88,4.47,1.98
2019,5,11,2.02,2.1,19.08,18.52,22.62,15.87,2.46,13.0,83.19,119.88,3.53,83.99,7.22,3.56
2019,5,12,1.96,1.66,19.72,19.33,25.49,13.72,0.28,12.76,78.31,114.0,2.76,83.96,6.16,1.92
2019,5,13,1.91,1.68,20.01,19.49,25.19,15.01,1.41,13.79,82.81,129.62,2.82,83.89,6.12,1.88
2019,5,14,1.94,1.73,20.01,19.67,24.6,15.87,1.49,14.04,83.25,123.75,2.9,83.88,6.37,2.44
2019,5,15,1.99,1.38,18.26,18.51,22.86,15.79,2.39,13.61,86.19,130.31,2.32,83.95,4.88,1.09
2019,5,16,1.99,1.38,19.08,19.08,24.8,13.96,4.49,13.49,82.81,151.69,2.3,83.93,6.02,0.44
2019,5,17,2.0,1.45,19.93,19.73,25.9,14.64,0.9,13.67,81.25,125.31,2.45,83.91,6.38,0.77
2019,5,18,1.71,1.33,20.54,20.27,25.64,15.3,1.47,13.85,79.62,146.62,2.24,83.88,5.33,0.75
2019,5,19,1.4,1.54,18.9,18.8,23.53,15.7,10.91,13.73,85.75,127.25,2.62,83.96,5.56,1.16
2019,5,20,2.11,1.01,19.31,19.15,24.69,14.48,7.34,13.61,83.5,160.44,1.69,84.0,3.59,0.91
2019,5,21,2.05,1.52,19.58,19.27,24.13,16.08,6.59,13.92,84.94,90.94,2.62,84.0,5.71,1.13
2019,5,22,1.77,1.27,20.05,19.95,25.89,15.69,0.98,13.06,76.94,161.0,2.09,83.99,4.71,0.37
2019,5,23,1.23,1.55,19.63,19.15,24.52,14.79,7.21,13.73,84.19,141.81,2.67,84.0,5.75,2.33
2019,5,24,1.84,1.71,19.55,18.87,24.58,15.31,4.15,13.31,83.94,136.88,2.91,84.02,5.87,3.44
2019,5,25,1.96,1.56,19.19,18.82,23.93,14.91,7.44,13.24,83.06,130.12,2.59,84.03,6.23,1.87
2019,5,26,1.7,1.67,18.7,18.5,23.4,14.72,9.61,13.31,84.81,140.31,2.81,83.94,6.24,2.51
2019,5,27,1.86,1.41,19.41,19.03,24.5,14.66,4.43,13.61,84.06,151.5,2.4,83.9,5.46,1.97
2019,5,28,1.9,1.4,19.37,19.08,24.43,14.53,4.03,13.49,83.25,130.06,2.3,83.94,5.05,1.8
2019,5,29,1.72,1.41,19.51,19.16,24.98,14.19,3.05,13.24,81.69,136.06,2.34,83.96,5.49,1.85
2019,5,30,1.71,1.38,20.06,19.55,25.33,14.98,2.18,13.67,82.38,140.94,2.38,83.92,5.19,3.0
2019,5,31,2.01,1.28,20.07,19.58,24.73,15.42,1.27,13.79,82.62,130.0,2.23,83.86,4.84,2.84
2019,6,1,1.87,0.62,20.38,20.13,25.19,16.3,3.56,13.73,79.38,174.31,0.98,83.87,2.93,0.12
2019,6,2,1.48,1.09,19.25,19.13,22.58,16.76,13.26,14.34,87.38,170.75,1.86,83.96,4.59,1.05
2019,6,3,1.57,0.95,19.83,19.48,24.3,15.4,9.97,13.67,82.56,195.75,1.65,84.04,3.95,1.4
2019,6,4,0.68,0.95,18.99,18.78,22.21,16.57,3.36,13.31,83.38,165.94,1.58,84.05,3.61,1.17
2019,6,5,1.66,0.87,19.09,18.7,23.28,15.06,2.51,13.0,81.81,165.12,1.43,83.98,2.8,1.45
2019,6,6,1.64,0.99,18.97,18.51,22.78,14.87,3.53,13.06,83.5,166.69,1.76,84.01,3.18,2.0
2019,6,7,1.12,0.96,18.61,18.19,22.89,15.17,1.38,12.94,84.31,161.75,1.66,84.09,3.55,1.52
2019,6,8,1.52,1.2,19.01,18.72,23.65,15.14,1.4,13.18,83.44,151.94,2.01,84.17,4.23,1.39
2019,6,9,1.48,1.48,18.55,18.01,22.91,14.26,1.11,12.57,83.38,178.0,2.55,84.18,5.22,2.79
2019,6,10,1.72,1.45,18.72,18.05,23.59,13.88,0.05,11.78,78.56,167.31,2.55,84.11,5.13,3.39
2019,6,11,1.77,1.27,18.37,17.76,23.05,12.69,0.01,11.29,76.5,152.0,2.22,84.12,4.62,2.69
2019,6,12,1.96,1.52,18.67,18.12,23.69,12.87,0.01,11.54,76.44,154.88,2.66,84.16,6.04,3.12
2019,6,13,1.86,1.64,19.15,18.67,24.79,13.62,0.07,12.15,78.06,157.25,2.86,84.17,6.36,3.18
2019,6,14,1.81,1.71,19.7,18.97,25.44,13.86,0.28,12.82,80.56,154.62,2.88,84.12,5.9,2.87
2019,6,15,1.87,1.27,19.5,19.01,24.83,14.39,0.51,12.33,77.44,156.31,2.08,84.07,5.92,1.62
2019,6,16,1.68,1.24,19.33,18.7,24.06,13.82,0.19,12.02,76.81,164.94,2.19,84.14,4.19,2.17
2019,6,17,1.65,1.55,18.71,18.33,24.31,14.05,0.01,11.23,74.0,164.5,2.66,84.24,6.26,3.16
2019,6,18,1.88,1.32,19.26,18.98,25.26,12.44,0.01,11.11,70.69,146.06,2.16,84.24,5.38,1.99
2019,6,19,1.96,1.25,20.11,19.44,25.73,13.5,0.07,11.84,73.0,154.75,2.12,84.21,4.25,1.99
2019,6,20,2.16,1.34,20.55,19.7,26.52,13.51,0.09,12.02,73.38,159.19,2.34,84.14,4.11,2.74
2019,6,21,1.9,1.3,20.35,19.67,25.99,13.62,9.14,12.08,73.81,187.06,2.3,84.11,4.62,2.27
2019,6,22,1.44,1.12,18.9,18.77,22.95,15.15,4.47,12.7,80.12,234.19,1.98,84.1,4.46,1.72
2019,6,23,1.23,0.74,20.23,19.56,25.57,14.61,4.3,12.57,76.06,240.12,1.32,84.0,3.73,0.73
2019,6,24,1.41,0.7,20.0,19.7,24.64,15.74,5.96,12.82,76.88,213.88,1.19,84.0,2.64,0.2
2019,6,25,1.31,1.0,17.69,17.71,20.8,15.14,7.84,12.82,85.56,192.06,1.7,84.04,3.14,1.4
2019,6,26,1.2,1.23,19.19,18.73,24.55,13.98,0.85,12.51,79.75,161.31,2.13,84.06,5.04,1.61
2019,6,27,1.54,1.31,18.5,18.12,22.55,14.69,2.93,12.94,84.62,145.06,2.24,84.11,4.75,2.27
2019,6,28,1.94,1.35,19.38,19.01,24.87,14.23,0.75,12.27,77.12,164.88,2.27,84.07,4.34,2.46
2019,6,29,1.95,1.3,19.26,18.94,25.58,13.16,0.19,11.66,74.19,175.44,2.27,84.07,4.24,1.78
2019,6,30,1.86,1.41,19.26,18.77,25.11,12.43,0.48,11.9,76.12,169.0,2.44,84.16,4.68,2.72
2019,7,1,2.21,1.59,19.01,18.6,26.06,11.83,0.0,10.93,71.81,173.75,2.77,84.07,5.33,2.66
2019,7,2,2.33,1.45,18.83,18.65,26.44,11.73,0.0,10.07,66.56,173.19,2.55,83.99,4.98,2.18
2019,7,3,2.18,1.59,18.8,18.53,25.42,11.47,0.17,10.86,71.0,167.69,2.72,84.03,6.1,2.02
2019,7,4,1.72,1.46,19.24,18.74,25.3,12.68,0.25,11.05,71.44,152.31,2.5,84.05,5.24,2.98
2019,7,5,2.11,1.16,20.01,19.68,25.92,13.8,0.23,11.29,68.38,157.62,1.88,84.0,3.82,1.88
2019,7,6,1.66,1.07,20.2,20.06,25.73,14.34,0.66,11.66,68.62,161.0,1.68,83.95,3.75,0.97
2019,7,7,1.46,1.4,20.08,19.46,25.29,15.26,2.38,12.76,77.56,153.0,2.27,84.02,4.7,1.63
2019,7,8,1.6,1.51,20.23,19.69,25.77,13.7,3.04,12.57,75.75,139.56,2.5,84.08,5.74,2.04
2019,7,9,1.27,1.54,18.53,18.51,22.71,15.62,8.33,12.94,82.5,136.62,2.45,84.1,6.95,0.12
2019,7,10,1.69,1.52,19.26,19.01,24.73,14.6,2.49,12.7,79.25,152.69,2.47,84.04,5.52,1.39
2019,7,11,1.84,1.95,20.05,19.49,25.73,15.0,0.26,12.08,74.19,162.81,3.28,83.98,7.87,3.62
2019,7,12,1.51,1.59,19.08,18.58,24.21,14.57,0.08,11.6,74.69,139.56,2.59,84.07,5.19,2.02
2019,7,13,1.06,1.57,17.9,17.6,22.44,14.59,1.16,12.02,81.38,165.56,2.55,84.18,6.27,1.09
2019,7,14,1.98,1.51,19.63,19.03,25.71,12.73,0.17,11.78,74.88,171.94,2.43,84.06,6.34,0.76
2019,7,15,2.2,1.8,19.8,19.08,25.76,13.51,0.0,11.17,71.0,150.12,3.01,84.04,6.3,3.3
2019,7,16,1.94,1.55,18.68,17.98,24.26,11.64,0.0,10.62,72.06,137.94,2.61,84.14,5.71,2.88
